"search-number","evaluation","evals-requested-so-far","power-plants*","initial-population*","birth-rate*","polluting-rate*","planting-rate*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","141","400","0","30","0.1","3","0.01","""-1621858764""","19","19","19","0","19"
"1","142","400","0","30","0.1","3","0.01","""-1699654669""","1817","1817","1817","0","1817"
"1","143","400","0","30","0.1","3","0.01","""-637203784""","733","733","733","0","733"
"1","144","400","0","30","0.1","3","0.01","""-2023744440""","1096","1096","1096","0","1096"
"1","145","400","6","30","0.1","3","0.08","""-1454597429""","-342","-342","-342","0","-342"
"1","146","400","6","30","0.1","3","0.08","""1716265987""","-1715","-1715","-1715","0","-1715"
"1","147","400","6","30","0.1","3","0.08","""13149543""","-1403","-1403","-1403","0","-1403"
"1","148","400","6","30","0.1","3","0.08","""-13779915""","-1340","-1340","-1340","0","-1340"
"1","149","400","6","30","0.1","3","0.08","""310702838""","-513","-513","-513","0","-513"
"1","150","400","6","30","0.1","3","0.08","""-783646925""","-117","-117","-117","0","-117"
"1","151","400","6","30","0.1","3","0.08","""-922379288""","-1175","-1175","-1175","0","-1175"
"1","152","400","6","30","0.1","3","0.08","""758703722""","-1221","-1221","-1221","0","-1221"
"1","153","400","17","30","0.1","3","0.09","""-2128768938""","-3097","-3097","-3097","0","-3097"
"1","154","400","17","30","0.1","3","0.09","""1273785649""","-2592","-2592","-2592","0","-2592"
"1","155","400","17","30","0.1","3","0.09","""-392162619""","-6842","-6842","-6842","0","-6842"
"1","156","400","17","30","0.1","3","0.09","""-692650411""","-7359","-7359","-7359","0","-7359"
"1","157","400","17","30","0.1","3","0.09","""-261471195""","-1131","-1131","-1131","0","-1131"
"1","158","400","17","30","0.1","3","0.09","""764704485""","-5928","-5928","-5928","0","-5928"
"1","159","400","17","30","0.1","3","0.09","""288445734""","-2960","-2960","-2960","0","-2960"
"1","160","400","17","30","0.1","3","0.09","""339250304""","-1507","-1507","-1507","0","-1507"
"1","161","400","4","30","0.1","3","0.03","""1814612556""","485","485","485","0","485"
"1","162","400","4","30","0.1","3","0.03","""272882203""","83","83","83","0","83"
"1","163","400","4","30","0.1","3","0.03","""-1075364685""","240","240","240","0","240"
"1","164","400","4","30","0.1","3","0.03","""-190572397""","503","503","503","0","503"
"1","165","400","4","30","0.1","3","0.03","""-281008091""","167","167","167","0","167"
"1","166","400","4","30","0.1","3","0.03","""-1350965920""","289","289","289","0","289"
"1","167","400","4","30","0.1","3","0.03","""-966086574""","-33","-33","-33","0","-33"
